Opcode;Description;Stack Behavior;Example
add;Adds two values and pushes the result onto the stack.;Pop 2, Push;add // a + b
add.ovf;Adds two values with overflow checking.;Pop 2, Push;add.ovf // a + b with overflow check
add.ovf.un;Adds two unsigned values with overflow checking.;Pop 2, Push;add.ovf.un // unsigned a + b with overflow check
and;Bitwise AND of two values.;Pop 2, Push;and // a & b
arglist;Pushes the argument list handle for the current method onto the stack.;Push;arglist
beq;Branches to the specified target if two values are equal.;Pop 2;beq target // if (a == b) jump
beq.s;Branches to the target if two values are equal (short form).;Pop 2;beq.s target
bge;Branches if the first value is greater than or equal to the second.;Pop 2;bge target // if (a >= b) jump
bge.s;Branches if the first value is greater than or equal to the second (short form).;Pop 2;bge.s target
bge.un;Branches if the first unsigned value is greater than or equal to the second.;Pop 2;bge.un target
bge.un.s;Branches if the first unsigned value is greater than or equal to the second (short form).;Pop 2;bge.un.s target
bgt;Branches if the first value is greater than the second.;Pop 2;bgt target // if (a > b) jump
bgt.s;Branches if the first value is greater than the second (short form).;Pop 2;bgt.s target
bgt.un;Branches if the first unsigned value is greater than the second.;Pop 2;bgt.un target
bgt.un.s;Branches if the first unsigned value is greater than the second (short form).;Pop 2;bgt.un.s target
ble;Branches if the first value is less than or equal to the second.;Pop 2;ble target // if (a <= b) jump
ble.s;Branches if the first value is less than or equal to the second (short form).;Pop 2;ble.s target
ble.un;Branches if the first unsigned value is less than or equal to the second.;Pop 2;ble.un target
ble.un.s;Branches if the first unsigned value is less than or equal to the second (short form).;Pop 2;ble.un.s target
blt;Branches if the first value is less than the second.;Pop 2;blt target // if (a < b) jump
blt.s;Branches if the first value is less than the second (short form).;Pop 2;blt.s target
blt.un;Branches if the first unsigned value is less than the second.;Pop 2;blt.un target
blt.un.s;Branches if the first unsigned value is less than the second (short form).;Pop 2;blt.un.s target
bne.un;Branches if two values are not equal.;Pop 2;bne.un target // if (a != b) jump
bne.un.s;Branches if two values are not equal (short form).;Pop 2;bne.un.s target
box;Converts a value type to an object reference.;Pop 1, Push;box int32
break;Signals a breakpoint.;None;break
brfalse;Branches to the target if the value is false (zero).;Pop 1;brfalse target // if (!a) jump
brfalse.s;Branches to the target if the value is false (zero) (short form).;Pop 1;brfalse.s target
brtrue;Branches to the target if the value is true (nonzero).;Pop 1;brtrue target // if (a) jump
brtrue.s;Branches to the target if the value is true (nonzero) (short form).;Pop 1;brtrue.s target
br;Unconditionally branches to the specified target.;None;br target
br.s;Unconditionally branches to the specified target (short form).;None;br.s target
call;Calls the method indicated by the method descriptor.;Pop arguments, Push return value;call MyMethod
calli;Calls a method indicated on the stack.;Pop method pointer and arguments, Push return value;calli methodPointer
callvirt;Calls a method associated with an object instance.;Pop object reference and arguments, Push return value;callvirt MyVirtualMethod
castclass;Casts an object to a specified class.;Pop 1, Push;castclass MyClass
ceq;Compares two values for equality.;Pop 2, Push;ceq // a == b
cgt;Compares two values to determine if the first is greater.;Pop 2, Push;cgt // a > b
cgt.un;Compares two unsigned values to determine if the first is greater.;Pop 2, Push;cgt.un // unsigned a > b
ckfinite;Checks that a value is finite (not NaN or infinity).;Pop 1, Push;ckfinite
clt;Compares two values to determine if the first is less.;Pop 2, Push;clt // a < b
clt.un;Compares two unsigned values to determine if the first is less.;Pop 2, Push;clt.un // unsigned a < b
constrained.;Constrains a method call to a specific type.;None;constrained. MyType
conv.i;Converts a value to a native integer.;Pop 1, Push;conv.i
conv.i1;Converts a value to a signed 1-byte integer.;Pop 1, Push;conv.i1
conv.i2;Converts a value to a signed 2-byte integer.;Pop 1, Push;conv.i2
conv.i4;Converts a value to a signed 4-byte integer.;Pop 1, Push;conv.i4
conv.i8;Converts a value to a signed 8-byte integer.;Pop 1, Push;conv.i8
conv.ovf.i;Converts a value to a native integer with overflow checking.;Pop 1, Push;conv.ovf.i
conv.ovf.i.un;Converts an unsigned value to a native integer with overflow checking.;Pop 1, Push;conv.ovf.i.un
conv.ovf.i1;Converts a value to a signed 1-byte integer with overflow checking.;Pop 1, Push;conv.ovf.i1
conv.ovf.i1.un;Converts an unsigned value to a signed 1-byte integer with overflow checking.;Pop 1, Push;conv.ovf.i1.un
conv.ovf.i2;Converts a value to a signed 2-byte integer with overflow checking.;Pop 1, Push;conv.ovf.i2
conv.ovf.i2.un;Converts an unsigned value to a signed 2-byte integer with overflow checking.;Pop 1, Push;conv.ovf.i2.un
conv.ovf.i4;Converts a value to a signed 4-byte integer with overflow checking.;Pop 1, Push;conv.ovf.i4
conv.ovf.i4.un;Converts an unsigned value to a signed 4-byte integer with overflow checking.;Pop 1, Push;conv.ovf.i4.un
conv.ovf.i8;Converts a value to a signed 8-byte integer with overflow checking.;Pop 1, Push;conv.ovf.i8
conv.ovf.i8.un;Converts an unsigned value to a signed 8-byte integer with overflow checking.;Pop 1, Push;conv.ovf.i8.un
conv.ovf.u;Converts a value to an unsigned native integer with overflow checking.;Pop 1, Push;conv.ovf.u
conv.ovf.u.un;Converts an unsigned value to an unsigned native integer with overflow checking.;Pop 1, Push;conv.ovf.u.un
conv.ovf.u1;Converts a value to an unsigned 1-byte integer with overflow checking.;Pop 1, Push;conv.ovf.u1
conv.ovf.u1.un;Converts an unsigned value to an unsigned 1-byte integer with overflow checking.;Pop 1, Push;conv.ovf.u1.un
conv.ovf.u2;Converts a value to an unsigned 2-byte integer with overflow checking.;Pop 1, Push;conv.ovf.u2
conv.ovf.u2.un;Converts an unsigned value to an unsigned 2-byte integer with overflow checking.;Pop 1, Push;conv.ovf.u2.un
conv.ovf.u4;Converts a value to an unsigned 4-byte integer with overflow checking.;Pop 1, Push;conv.ovf.u4
conv.ovf.u4.un;Converts an unsigned value to an unsigned 4-byte integer with overflow checking.;Pop 1, Push;conv.ovf.u4.un
conv.ovf.u8;Converts a value to an unsigned 8-byte integer with overflow checking.;Pop 1, Push;conv.ovf.u8
conv.ovf.u8.un;Converts an unsigned value to an unsigned 8-byte integer with overflow checking.;Pop 1, Push;conv.ovf.u8.un
conv.r.un;Converts an unsigned integer to a floating-point value.;Pop 1, Push;conv.r.un
conv.r4;Converts a value to a 4-byte floating-point value.;Pop 1, Push;conv.r4
conv.r8;Converts a value to an 8-byte floating-point value.;Pop 1, Push;conv.r8
conv.u;Converts a value to an unsigned native integer.;Pop 1, Push;conv.u
conv.u1;Converts a value to an unsigned 1-byte integer.;Pop 1, Push;conv.u1
conv.u2;Converts a value to an unsigned 2-byte integer.;Pop 1, Push;conv.u2
conv.u4;Converts a value to an unsigned 4-byte integer.;Pop 1, Push;conv.u4
conv.u8;Converts a value to an unsigned 8-byte integer.;Pop 1, Push;conv.u8
cpblk;Copies a specified number of bytes from source to destination.;Pop 3;cpblk
cpobj;Copies a value type from one location to another.;Pop 2;cpobj MyValueType
div;Divides two values and pushes the result onto the stack.;Pop 2, Push;div // a / b
div.un;Divides two unsigned values and pushes the result onto the stack.;Pop 2, Push;div.un // unsigned a / b
dup;Duplicates the value on the top of the stack.;Pop 1, Push 2;dup
endfilter;Ends an exception filtering block.;Pop 1;endfilter
endfinally;Ends a finally block.;None;endfinally
initblk;Initializes a block of memory to a specified value.;Pop 3;initblk
initobj;Initializes a value type at a specified address.;Pop 1;initobj MyValueType
isinst;Tests whether an object is an instance of a specified class or interface.;Pop 1, Push;isinst MyClass
jmp;Exits the current method and jumps to the specified method.;None;jmp MyMethod
ldarg;Loads an argument onto the stack by index.;Push;ldarg 0
ldarg.0;Loads the argument at index 0 onto the stack.;Push;ldarg.0
ldarg.1;Loads the argument at index 1 onto the stack.;Push;ldarg.1
ldarg.2;Loads the argument at index 2 onto the stack.;Push;ldarg.2
ldarg.3;Loads the argument at index 3 onto the stack.;Push;ldarg.3
ldarg.s;Loads an argument onto the stack by index (short form).;Push;ldarg.s 2
ldarga;Loads the address of an argument onto the stack.;Push;ldarga 0
ldarga.s;Loads the address of an argument onto the stack (short form).;Push;ldarga.s 1
ldc.i4;Pushes a 4-byte integer constant onto the stack.;Push;ldc.i4 42
ldc.i4.0;Pushes the integer value 0 onto the stack.;Push;ldc.i4.0
ldc.i4.1;Pushes the integer value 1 onto the stack.;Push;ldc.i4.1
ldc.i4.2;Pushes the integer value 2 onto the stack.;Push;ldc.i4.2
ldc.i4.3;Pushes the integer value 3 onto the stack.;Push;ldc.i4.3
ldc.i4.4;Pushes the integer value 4 onto the stack.;Push;ldc.i4.4
ldc.i4.5;Pushes the integer value 5 onto the stack.;Push;ldc.i4.5
ldc.i4.6;Pushes the integer value 6 onto the stack.;Push;ldc.i4.6
ldc.i4.7;Pushes the integer value 7 onto the stack.;Push;ldc.i4.7
ldc.i4.8;Pushes the integer value 8 onto the stack.;Push;ldc.i4.8
ldc.i4.m1;Pushes the integer value -1 onto the stack.;Push;ldc.i4.m1
ldc.i4.s;Pushes a signed 8-bit integer constant onto the stack.;Push;ldc.i4.s 127
ldc.i8;Pushes an 8-byte integer constant onto the stack.;Push;ldc.i8 9223372036854775807
ldc.r4;Pushes a 4-byte floating-point constant onto the stack.;Push;ldc.r4 3.14
ldc.r8;Pushes an 8-byte floating-point constant onto the stack.;Push;ldc.r8 3.14159
ldelem;Loads the element at a specified array index onto the stack.;Pop 2, Push;ldelem MyType
ldelem.i1;Loads the element at a specified array index onto the stack as a signed 1-byte integer.;Pop 2, Push;ldelem.i1
ldelem.i2;Loads the element at a specified array index onto the stack as a signed 2-byte integer.;Pop 2, Push;ldelem.i2
ldelem.i4;Loads the element at a specified array index onto the stack as a signed 4-byte integer.;Pop 2, Push;ldelem.i4
ldelem.i8;Loads the element at a specified array index onto the stack as a signed 8-byte integer.;Pop 2, Push;ldelem.i8
ldelem.r4;Loads the element at a specified array index onto the stack as a 4-byte floating-point value.;Pop 2, Push;ldelem.r4
ldelem.r8;Loads the element at a specified array index onto the stack as an 8-byte floating-point value.;Pop 2, Push;ldelem.r8
